input,labels
It is a kind of official test required for law school admission .,1
I get new philosophy in there sometimes .,0
The stick will tell your path .,0
And I have to make a presentation in English .,0
It is lucky that my Mom not only Did not care but also taught me enthusiastically .,0
"Last Thursday , our good friend Yorch was almost killed by our not so professional chemistry teacher who was not sure of what their classmates were doing .",1
"We put one joker , one ace , one king , the others which are regulated how many people .",0
Went to study,1
"These are simple sentences , but please correct them .",1
"Usually I spend my winter weekends at home , because it is too cold outside to leave my warm and cosy room .",1
It needs yen to mill per kg rice .,0
I am too far from them .,0
"I hate to say , but nasty people do exist in this world .",0
Please correct an English composition .help me !,0
"And at , the working will be start .",0
So I felt that Apple was very strong .,1
Challenge with a preparation as lose with grace if you are man .,0
Question to you,0
I am looking forward to my mark .,1
I am going to get there as early as possible to prepare for the class .,0
I ca not work without e - mail .,1
who met in London .,1
So I could not understand what she said,0
"But now I think he is very romantic , and he also needs true love .",1
Multiculturalism in Canada,1
"Having said that , I had some moments where I felt I could not communicate with them enough because of my limited English abilities .",1
If you would kindly like to send bug reports or leave any comments .,1
Hello ! ! and please,0
I am going to show you a Japanese proverb .,0
That is all .,0
We into the forest to pick up firewoods for winter today .,0
"Secondly , relaxing is also important .",0
This technology has greatly affected the lives of common people around the globe .,0
Yesterday I went to see doctor .,0
I read two books today .,0
"I am healthy , going to a good school , live in a safe country , hang out with nice friends , and have a great family .",1
in our own fairytale story,0
Feel free to talk to me .,0
How can we get out here ? Then a new idea entered my mind and I said Do not worry about it !,0
One fierfly flew and stoped at my son is feet .,0
entrance to school from years old .,0
Money in hand .,0
 - First is Anchoring .,0
"Most of those things maybe not be seen as the condition in this time , but fact could nt stop us to imagine it .",0
I want to know just raw usage as native speakers use it .,0
I want to play again soon .,1
Gon was startled and then jumped up .,0
and the murderer is face also appeared on TV .,0
I always ask myself what I learned here and if I lived up to my expectance .,0
"In , an annual sales pcs in the Japanese market were almost .",0
 Basic Grammar in Use is an American English Grammar Book and Essential Grammar in Use is a British English Grammar Book .,1
Have not lost your goals ?,0
I have to spend a lot of time when it comes to remembering some pretty simple words .,0
"It is made with wheat flour , soup , and some ingredients , for example , rice cakes , cheeses , octopuses , lobsters , and so on .",1
"Additionally , I also found many kick start vehicles parked there which I had not seen about two or three years ago .",1
"I got a Teriyaki burger , which is my favorite , and Okinawa Soba .",0
I want to sleep right now .,1
"This time , I am going to Sydney and Gold Coast .",1
"The Governor of Iwate Prefecture said the tax increase was not required , which aimed to reconstruction .",0
I felt like all of the theatre people were watching me .,1
Looks like it was true after all .,0
It is getting long .,0
"If you look for something , ",1
"First of all , playing game is a good way to learn about team work .",0
as they would eat rice .,1
What do you think about it ?,1
To be honest I do not know .,0
"And we took lunch of plastic cabbage , plastic egg - plant , plastic carrot and so on on the blanket .",1
My room rejected me !,0
"Dear friends , this is my first diary . Because of my lazyness , it comes late by like a year , o o , so shame on myself !",1
or warm way ?,1
"i hope it is help me to to fine new friends , practice my English and spent time usefully",0
Ahhh Lately I am very stressed .,0
interacted with each class .,1
They also help us to exchange information and gain knowledge which we could not in the past .,1
The accident might have happened accidentally .,1
I really felt sad and hopeless .,1
Thank everybody for reading an awful english paragraph .,0
"If you speak too loud in your room , your mother or brother may think you have gone mad .",1
"For example , parents like listening to classical music .",0
It was one of my treasures at the time .,1
Perhaps we can send the images directly to our phones and SNS pages .,0
I used full of my body and a part of blain which were ' nt used usually .,0
"i guees that I will be writting in this page often , if you can tell me in what I am wrong I will be happy and I be able to correct my mistakes . !",0
A I have been to Tokyo .,1
I want her him to be natural .,0
I am kidding .,1
"In japan , they say For men , girl is ca not be a best friend . , ",0
This is my first entry on Lang - .,0
"The sealed lucky bag is sold by packing various commodities into the bag , cheaply at the beginning of the year , according to the price as a good luck talisman .",1
"When a locomotive went into a tunnel , the station staff standing near the entrance of the tunnel drew the curtain at once in order to stop the flow of air .",0
The US government prepares a new set of sanctions on Syria,1
I went to hair salon after work and cut my hair to short today .,0
 .,0
Thank you for reading .,1
"I have been to the farm , but I have never been to the alpine garden .",1
So I always practice every language that I m learning .,0
I had known that the American accent and the Australian accent were very different .,1
I get it from my wife .,0
I think it is more persuasive than the old one .,1
She worried about her cat .,0
Imperative form .,0
"If he had stepped break suddenly , the cars in the back of us would have been involved .",0
I am a university student .,1
I had the event in the nursery last Sunday .,1
playing games,0
And how did you find your true interests concerning a job ?,1
"Second , there are no ways to utilize nuclear power as renewable energy yet , despise it must to be done .",0
This movie is really cool .,0
His score was - .,0
My daughters are eager to study new English more !,0
"After that they are not able to move , and they",0
The third reason is that the death penalty should not be adopted for the sake of crime prevention .,1
"First , surrogate",1
"Today , I had an internal design review about the additions to the device that we are developing .",1
"When he makes presentations , he spends a lot of time for the preparation .",0
" , Ugly Betty , LOST , etc .",0
other like an old married couple .,0
I am not sure we can create effective synergy with them so far .,1
Because there are planes we can take and leave but in say we are having to cancel the ticket and buy tickets now .,0
Social networking sites like facebook or twitter are very important to promote them .,0
And she does what her stepmother tells her to without a word even though they are not reasonable things .,1
She took me to a substantial restaurant which is called Doctor Restaurant .,1
Someone said it is almost impossible that shrinking ship by inside explosion .,0
Is it a simple ?,0
"When I spend some time on the internet , I feel guilty when I log off .",1
It often takes women a long time to find a day care center available for their children .,0
This aircraft may change the airline market .,1
I feel tired and sad so just let me alone .,0
It is perhaps uncountable .,1
I decided with myself that I would get up minutes earlier .,1
"And this time , I will never give up again !",1
"Actually , I have not been there in spite of having been in Toronto for a year and a half .",1
Is this sentence natural ?,1
"So , I always take a long time to think before I choose a single form or a plural form .",1
I am so happy to have a break time .,1
How did I celebrate my birthday ?,1
A He was so tired he went to bed early .,1
"By the way , he was good man .",0
"By the way , a panic movie was released today .",0
 Good work ! said the boss about the operation manual .,1
"I had thought that was not hard , but that was hard .",0
It is not likely that today is august .,0
I told the clerk to cut my hair until its length did nt cause my hair to bounce .,1
"If you are interested in me in this clumsy sentence , I want to examine this problem and wish to know the truth .",1
The surprising thing is that it costs one thousand yen for ten minutes to talk .,1
I check the mails and this site every day .,0
"All complains , anyway .",0
Good Night .,0
"unless , if the situation changed into playing video games .",1
Can I write accurately ?,0
"So , I called my two friends to eat lunch together .",0
I suspect that about of the Japanese people is body are made from soybeans on average .,0
Today was the first anniversary of our wedding party .,0
Swimming pool day w ,1
It is Sunday night and I do not want the week to begin .,1
We never expect foreigners to master them .,0
I am glad to see snow because rarely could I see snow .,0
"When I used an American - made acne product that included benzoyl peroxide , my acne would heal up .",1
I asked myself When come my real - Friday ? .,0
"The donation package was a lot of school satchels , which are required to have to enter elementary school .",1
"Is it sound good , right ?",0
"They are Japanese , Chinese and Swiss .",0
"They will appearance a great deal in summer , because the warm temperatures will help them hatched .",1
He looks serious crossing his arms in front .,0
Sport is an important thing because it can give you better health .,1
My First Online English Lesson,1
"do handicrafts , and play Lego .",0
Ice cream is being given away to all children .,0
What is new,1
But I ca not do that now .,1
I worry about the interviews I will take at a company because I do not have any experience shows I learned or succeeded in something .,0
So I demand myself to send less and so that the messages can be more effective .,0
I am glad to see their growth .,0
"Actually , I entered college this April even though I am working .",0
"I do not know if nail polishes are famous out there , but here in Brazil they are totally a fever !",1
I asked some friends of mine who work in a community pharmacy in Japan to fill this form out .,1
"So it was one of those Sunday midnights when I left the mahjong saloon , exhausted .",0
I hope that he can build a great website and many learners will use it .,1
What is it ?,1
"Anyways , I want to know that it happens phenomenon in a brain completely .",0
"My job is call center operator , which is home electrical repair .",1
My opinion,1
"These day , I study English .",0
One day is not enough to go around this park .,0
we have to make a set of temporary documents for the auditor to check .,0
I think I ' ma lucky girl .,1
"finally , I made it !",0
"With a new attitude , write again !",0
"but I also have to admit that today is very unhealthy , maybe I should do some sports ?",0
chief complaint of severe abdominal pain .,0
My wife is weak at climbing slope .,0
I think Vancouver is a very beautiful city .,1
The early bird catches the worm .,0
"Today , the emphasis on planting ornamental trees in Vancouver has decreased due to the fact that large trees are needed for their environmental benefits .",0
"I opened the rice cooker , the rice seemed hard .",1
"So if an entry is talking about sushi , other sushi - related entries would be listed at the corner of your browser .",0
I met three foreigners at a supermarket .,1
There is another advantage that readers can easily get to know what languages writers use .,0
"For example , soccer , dance , light music , and so on .",0
She always gets along very piety .,0
"As a Chinese , it is no way for me to have only meat for hotpot .",0
Today is the first day of going to school in .,1
But they were patched .,1
They are my favourite tastes .,1
Air Self - Defense Force best military affairs leader .,0
They are so ridiculous dreams that make me almost ashamed !,0
"To be honest , I do not know .",1
I will never give up,0
"Even so , I was able to get the gist and enjoyed it .",1
"Well , I am thinking I need something for a change .",0
"Fortunately , a pastor cared me .",0
"Last night , I tossed and turned since I sneezed all night .",1
The feeling of wanting to help her was much stronger than that of backing off .,0
 I will stop writing anymore .,1
I will try my best to do it well .,0
Will you be satisfied with it instead of my heart ? ,0
The subways in Tokyo are very crowded in rush hours .,1
"However , I want the arrow keys in the softkeyboard .",0
It was delicious .,1
All I could do was just cry .,1
We practiced on the Koma with enthusiasm .,0
But I advised her a little strictly .,0
I hope for attend it next year .,0
I wish I could have done better .,1
"I want to be a teacher in the future , so I can continue to have the long vacations ",0
"In the Japanese society , people over are often considered as senior citizens .",0
I want to protect network of my courtry form the risk .,0
What kind of fictional person do you like ?,1
I even think you are laughing me off .,0
So I decided that I want to live for the poor using my major and my gifts of God .,0
"In Japan , sometimes this kind of traffic troubles become big fights or murder cases , how is your country ?",0
At last days off !,1
"I will let him do what ever he wants to do , except smoking .",0
See you !,0
as long as it is a phone .,0
Something about me,1
"Yesterday , I wanted to ask him about driving us to the MEGA .",1
"I m very happy , because I ll start my exciting holiday .",0
"Now , my TOEIC score is grades .",0
But you are not going to get it if the box is empty !,0
I am Korean .,1
"Anyways , why did the Japanese build a capital city in such a cold area ?",1
"Besides , they spent time very cleverly , because of which there was little time left to play .",0
I am wondering how many hours in a day average people can study or read materials .,1
First Post,1
"When I saw it at first time , I felt funny .",0
The yellow sand is troubled .,1
And I ate fish and chips for breakfast and brought it as a doggy bag .,0
There were a lot of words I did not memorize .,1
"As you know , what I like best is studying English .",1
And nothing happens if I turn off the light .,1
I have been studying English since I was .,1
He has already experienced in childhood his mother rejecting his father or directly rejecting him .,0
After lessons we have an hour of free time .,1
It is called the International School ,1
I am a senior .,0
"Ironically , despite their best endeavors , their mission resulted in complete failure .",1
We got ten tissues !,0
"Maybe not , I think .",1
"All terrible events are not segments in blockbuster , that is real .",0
It will be so funny to come among the people who walk with their heads downwards !,1
She is very cute and nice .,1
I just want to feel the summer season and soak my foot in the sea .,1
"Here is a very simple sample code that creates a sine wave , basically the same as the sample on Adobe is online document , but for only one expression Math .",1
I want to do something else .,0
"Besides , volleyball is a sort of collaborative sport .",1
Only I could do was just crying .,0
I finally got a new PC yesterday .,1
"At the show of JET , I was so excited !JET is a great rockband from Australia .",0
So i intend to practise my oral english and wish to improve it with my best try .,0
I found some frost crystals in my garden .,0
Layer the rectangles right sides together .,1
Those are very strong !,1
"Oh , what information would you like to give us ?",1
"The website seemed to work today , so I tried it for about minutes .",1
Short question about grammar .,1
"Now I have finished study , going to start work , and I want to make another trip to England .",0
"I hope someday you will join us , and the world will be as one .",1
"When you buy CBS is Criminal Minds ' DVD in Japan , it has english and Japanese subtitles .",0
I heard about New Year is celebration in Australia from my English teacher .,0
The door opened and I got off the elevator .,1
"It was the third time to visit Paris for me , but I really enjoyed my trip more than the previous trip .",1
He is getting more than me !,0
"I learned Chinese and English for three years but I almost forgot them , so I want to learn them again .",1
"For example at my university , I learn",1
"My friend get the award , so I deeply regreted .",0
"He should communicate a little with the students , know the reason why the student does this , whether he wants to attract others ' attention or something .",1
My eyes stung from the contact lenses .,1
I will never forget I met at high school with a friend and teacher and dear person .,1
I am working for sales in Tokyo .,0
I felt a slice of happiness of being traveller .,0
But I did not care it so much .,0
"However , my daughters were very excited about the ride .",1
not using a board and moving pieces .,1
If it get worse I thought not be able to get married .,0
I could not help laughting at him since those contents were also perfectly true ! !,0
"In Tokyo , it is cold today !",0
" When you are feeling sad , what do you do to feel better ? ",0
"The fire alarm came unexpectedly on when I was cooking dinner , which is Chinese fried noodles .",1
The weather is getting cold .,1
I am tired .,0
drawing an icon,1
 ,1
"I can speak mother tongue anytime and anywhere when I am in my country but I ca not study truth only here , you know what I mean ?",0
It was very exciting .,0
Usually about ten people attend but this time three new people came as a tryout .,1
"Discussion , debate , drama , and speech .",0
"I would like to add some sentences to my last journal entry , Essential Friend . ",1
"Some people disagree with this policy , and mention that their salaries should not be too higher than common people , another group agrees with this policy .",0
etc without news on TV .,1
"Because my friends loved beers , I got sleep at once to became intoxicated .",0
I feel better today .,1
and well,0
The other one is to mock those who are always dreaming to gain a windfall instead of working hard .,0
I cook curry and they cook pumpkin soup .,1
"technically , I think that must do something .",0
 pet hates something I hate,1
These are my photo in Toronto .,0
"Moreover , the plan I selected includes minutes of calling service for free in Hong Kong .",1
I know what i need is to wait and think for a while .,0
Good bye,0
"As you know , there was a tremendous earthquake in Japan .",1
"I hope that my children obey me , are loyal to me , and respect me .",0
"So magical , so cold but simultaneously so warm I cherished it as much as I was able to , mostly because something finally made me feel complete .",1
Stand beside I stood beside a special source in order to use it later .,1
"I have to fill out a form on the website of the Foreign Office , but it never work .",0
I studied in France for one year two years ago .,1
"Most of all , you have to have some romantic relationship .",1
High blood pressure or diabetes are major health problems caused by obesity .,1
Good day to you !,1
 comes from export .,0
Today is weather dark and cloudy .,0
afterwards will brew along with tea .,1
Never shall I forget the nocturnal silence that deprived me for all eternity of the desire to live .,0
"And then , I took a shower .",0
Her pictuers were very beautiful . ,0
Even an adult sometimes does not understand others ' trouble .,1
"Recently , to solve a quiz to get a free ticket for pizzas is in mode in our school .",0
That is one way to save my expense .,0
Should I say thoughts after the late - twentieth century crisis strike ? ? ?,1
We drunked and to be funny .,0
"Now we have many cultures music , art and religion .",0
"As a result , we become possible to learn more deep .",0
But every early morning I was forced to get up by the noise and shakings of the first train .,0
It was the first time that I had come across the baby seat on a bike .,1
I was so surprised to see a security person and a receptionist in the entrance of the building and six elevators .,0
The humans thought they could annihilate the Cylons using this virus .,0
You should be confident .,1
 is the latest possible time to wake up .,0
The third generation will be better than the second generation .,1
Some companies had to cope with a critical situation .,0
"For example , with regards to Samsung Electronics manufacturing cell - phones , they entrust some of the components to its subsidiary companies .",1
"As expected , I did not control my trumpet well , but I realized I liked music .",0
I wrote an essay titled .,0
I kept walking for nearly one hour .,1
Many thanks !,0
My friends are just talking about girls and a soccer .,0
People who study for reading Japanese books or working in Japan must study both .,0
One of my purpose to study English is that I want to communicate with people around the world,0
I think I can enjoy it for a long time .,1
"Even though it has been improved dramatically , it still remains now .",1
I am sleepy now .,1
"As a result , we all have the possibility of either success or failure .",1
"Or , does it just mean that I am a highly advanced automaton ?",1
And I was sure that giving out is very important when I am with someone in daily life .,1
Hi Everybody,1
Jorge is .,1
But for some reason my thoughts sometimes fall into the contradictions .,0
I want to communicate with somebody .,1
tsunami means a tidal wave .,0
A letter to ask to see us,1
How is your health condition ? ,0
Do you know how many people commit suicide in Japan every year ?,1
We give him for present .,0
I seldom buy comics and novels because I do not purchase unless I really like it .,0
That s it .,1
"On the day of athletic meeting , one step by one step , you ran towards the goal .",0
fun and very reasonable !,1
These days I am watching Gossip - girl .,1
"In my opinion , good way to bet better understanding of each culture is to know some of that specific language .",0
But it is raining now and according to the weather report it will be cloudy tomorrow .,1
What made me angry .,1
I found that we must learn something useful in normal time .,0
I saw two girls front of me .,0
I wonder if he could play the piano at the tomorrow is concert .,0
It is strange .,0
Today is event,0
Hi Everyone . Nice to meet you .,0
I called you sometimes but you did not answer .,1
"He has what it takes to be a great hunter and , above all , he has a good nature .",1
Thank you leading still .,0
In Russia there are approximately palaces and manor parks .,0
and there will be a nice feast tonight ,1
"If this is wrong , please let me know m m ",1
BUT I must solve Test English level .,0
"I think the reason why I feel oppressed recently is that , so I will exercise enough to sweat !",1
Recently she would started to learn how to play the piano .,1
Happy day,0
Someday I hope to play volleyball with my crew is members !,1
"Since I ate a lot while living in Canada , I gained weight , which was the only bad thing .",0
I am impatient when communicate to people in English X ,0
I would like to tell you about Japan s fireworks today .,0
Please tell me why ?,0
I will do my best tomorrow !,1
"Monday , August , ",0
"Like this , that happens in Japan .",1
Hello ! I am Miku .,1
I am cold - natured so I hate the winter .,1
But teaching Japanese is not all my jobs .,1
It is regrettable not to have recorded her dancing !,1
"But after the cleaning of our house , we felt very comfortable .",0
I would like to share another picture that I like very much here .,1
"Therefore , we want her to cherish her family and herself in the way she desires .",1
"It is hard to understand , because their relationships are so complicated ! !",1
What on the earth is this ! ? A hair .,1
My clothes and books were lying about in the room .,1
In connection with it in agriculture transgenic agrarian technologies have been begun to use .,0
 .,0
Yeah the one like Lex Luthor .,0
But he seemed like a child then .,0
I still miss a lot of people and places .,0
Thank you for reading .,1
Furthermore some clothes were torn into hundreds of pieces in a way that could not be mended .,1
My lifestyle totally changed .,0
"I can understand what they say , but it is hard to tell them my opinon .",0
"When I saw this scene , I was deeply touched by their pure actions .",0
The shepherd sat again on his heels watching intensely ? the point in which the other one disappeared .,1
The bar looked American style because I could see stuffed animals of M Ms .,1
"Anyway , after Mark listened to my British accent , he asked me that which dialect is the most difficult in Japanese .",0
"Last month , I gave up the work of plumbers .",1
I ca not forget the day . in New York ever .,1
"but most of the time , all that I can say is just Thank you very much alone .",1
See you .,1
It is been a while English,1
This is my simple way of drinking tea in my dormitory .,1
I participated in a lecture meeting today .,0
That is why I annoyed .,0
"In brief , I practiced reading and listening for years .",0
"As a matter of course , we talk by skype everyday .",0
"If you have , please let me know !",1
Film Part ,1
I think I am really happy and lucky because I have a lot of great friends there .,1
My hostfamily is Filipino .,1
"While he is in two minds , the mother decides to leave him her old father , who renounce her due to the crime .",0
It is Friday night !,0
I think I can prove my English through it .,0
"We put many flowers , incense sticks and sweet treats then we prayed for the peaceful repose of our ancestors .",0
Dinner fry ,1
It is time saving .,1
I felt like I would never rise if I went to bed .,1
We had no maps but never did we get lost .,0
"Father , Mother , big brother , and I .",0
I am sorry .,0
"Yesterday , I went to college with my sister .",0
Have a nice day !,1
"I am not sure what that animals is , but probably monkeys .",0
English makes me cry .,1
That is the one of the picture I posted .,0
Can we handle your machines for wood exclusively in Korea ?,1
And he did .,1
I am studying English .,0
The actors ' performance is also great .,1
Hi there !,0
It is a very long time for me .,1
It was also cold and rainy today because a big typhoon is coming .,0
I am going to write about the reason why I am studying English . Probably it is a long story so I will write it a little bit at a time .,1
Its job was hard to manage .,0
In crisis ' times . ideas do not die !,0
"Good , I liked the party , but they would like to go home .",0
Do not you think so ?,1
I like school .,1
"On the other hand , he said at the press conference that he was a one - sided victim of violence and he had not done any behavior causing the violence .",1
"Yesterday , I visited a factory of a big power electronics company .",0
"As we talked for a long time , I could not sleep well .",1
Several small questions,0
I decide to start Lang - today .,0
Now it is December .,1
But My cousins who stayed last night are sleeping .,0
and correctly understand what others say .,1
It is a little cold and in my city there are always strong winds .,1
Rest in peace .,0
"Next year , I will be turning .",1
"I could buy an owan at a Japanese store , but somehow I like this miso soup American style .",0
The next morning he took a shower .,1
"Here is the website , enjoy it !",0
But I do not feel bad .,0
"Furthermore , a teacher used a ball as a material in activity .",0
Now I am looking for a job in which I can be caught up in like with the athletes ! !,1
I went to shopping today .,0
I could record something times and still not get it noise - free .,1
And so I mean I think the problem has been national health sevice that it is very centu .,0
 - You can take the trash out anytime .,1
"As a matter of fact , a lot of Japanese teenagers are said to be passive .",1
I am korokke ,0
I am concerned about korean .,0
The circumstances that surround me make me who I am .,1
"Oh , I wish I had been born in a country somewhere in Southeast Asia !",1
"First , I went to a clothing shop for the big size .",1
These style is different from western style .,0
"Above all , nowadays college students face great employment pressure .",0
We had not seen each other for three years .,1
He prefers to pay more time on writting novels or catalogues than listening to the teachers and study hard on lessons in school .,0
I do nt know why he wanted to stay at home .,1
I think almost every woman likes a gift .,0
"A lot of my friends got married at a church , only because brides want to wear white Christian style dresses .",0
"I want more and more time to do what I want to do , I am learning English and Japanese , and I think it is insteresting .",0
" I mean , they had to memorize the paragraph at home .",1
My English is bad X ,0
the way of installing is very easy .,0
"In other words , people who can not speak English give up before they reach a critical point .",1
"Then , You talked in English so I could not understand it .",0
Oh my god he is a foreigner .,0
It is far more difficult than we think to behave like that .,1
And I plan to stay in Paris .,0
thank you .,0
"Yesterday was my second time attending Friday Night , which I ve dreamed of since I was in senior high school .",1
Anyway this is the first time my horse has become a breeding horse . Today is a happy day .,1
"But he could drive back well , so he tried to go straight and turn back .",0
F ,0
"Bhutanese like very hot foods , so I m planning to use red chili as a subtle seasoning .",1
Planned blackout,0
So cute .,1
The other one is to mock those who are always dreaming of gaining a windfall instead of working hard .,1
Every day there are a lot of things you have to face . How to be happy ?,1
It is about a young man and a middle - aged woman who fell in love at first sight .,1
"I was holding tight to the piece of the chocolate roll , too .",1
They do not use it often .,1
so i have to try to diet tomorrow .,1
All the ingredients were poor and old .,1
I just like crawling on Lang - and checking other is journals .,0
" This book is easy to get in my homeountry , so I do not have to order it from theountry where it is published .",0
He is a very direct man .,1
She seems to be sick .,0
So these kinds of shoes are the best choice for old people .,1
It is going to become the tallest tower in the world which has m !,0
He did not call me althoght i texted him like Have a great night Joey ,0
I live in the south of China .,1
The same thing as above happened again but with a few differences .,1
"Still , the Arabs could easily and without any problem recognize them .",1
"Then , an earthquake happened .",0
She was really delighted .,0
Today more and more people have become unaware of their family .,1
I hate eating the same food and hunting everyday .,0
"Of course , Japanese eat many fish because Japan is surrounded by the sea .",1
Ice cream is being given away to all children .,1
I dollars . ,0
I did not go out exept for when I went food shopping .,0
I have never seen her before .,1
It is called .,1
"I think lending something to a person means there is a possibility of breaking , and that is why it can not be helped .",1
"Japanese people can speak Japanese because they have been learning how to speak it for uncountable hours , every day , since they were born .",1
There are so many similar adjectives to describe a certain thing .,1
Is it the eternal love we always talk about ?,1
when i have a friend who always think negative way,0
Please point it out if it is unnatural .,1
About me,1
"It make me feel sick , too !",0
If I were in his shoes I get certainly hurt with that word .,0
Lasts a few minutes before parting .,1
I think younger children like pepsi more than coke .,1
QUANTIZATION REVISION OF MURPHY ' S LAW,1
I have been looking forward to going there and I will refresh myself during the vacation .,1
But I found this web comic .,1
I like her .,1
Please help me check this short passage about my family in German .,1
"We did talking , eating and playing tag .",1
"The team grew strong gradually , meanwhile both nations made up friendship from rugby .",0
Maybe one of the cause is working .,0
 - It s a strange and great feeling hearing my diary by a real voice .,1
It was very useful lesson .,0
How amazing ! !,0
For the rest of the time I think I will work on my own or maybe I will go looking for a job .,1
I just woke up .,0
We should chose the fact .,0
New face nephew,0
I do not know why it is not in there anymore .,0
It was my first time to buy something in the iTunes store shop but It is the price for me .,0
Actually these scenes are controversial .,1
Words my mother said to me in the morning,1
The army of the west is advantageous .,0
"Then , you talked in English so I could not understand it .",1
I love mini dogz .,0
"Now I do not need to wear glasses , wash contact lenses , or buy lens - care stuff .",1
Which is better ?,0
I am very nervous .,1
I feel that Helen s life is full of hope .,0
"By the way , I have been reading a book about making a career path .",1
It should be appreciated people in my country have various religions .,0
The new cat is name is Hinata .,1
And I want to do a man s work .,0
I am always serious ! ! !,0
Because the patterns of those sentences are very similar and limited .,1
"Now , I like reading or watching movies !",1
The gift is a bouquet and a handmade bread .,1
I have only a few kinds of pattern .,1
The characters are haunted by evil spirits and fighting with each other .,1
"My friends say that you must be doing things at your own pace , because my blood type is B .",0
"For instance , I heard some song and I felt positive vibe , but lyric was about negative things .",0
I am working for a Japanese game company .,1
"Why did it drop , even though it is a very important mail for the people who send it ?",1
But what I have difficulty with is listening to English .,1
"But it was not that heavy , so I thought I could help her even if I could not use both hands .",1
sofromnowoniamplanningtoexercisebillybootcamp ? ,0
He looks natural in there .,1
"I often drink hot tea , because I have a sore throat .",1
I am back at my parents for these few days .,0
All my friends thought my mom had broken something .,1
Very cold !,1
One of them is I know it is Tennis .,0
"These days , it is the final examination season in my school .",0
They were all made by God .,1
"Today is weekend , it should be a rest day .",0
I was reading about Poland .,0
"After getting in the hall , I was moved by the sublime of the architecture .",0
I want to cancel .,1
I believe that we will be able to get over the many difficulties .,1
The question is when I can get this kind of a free day next time .,1
No this morning to me .,0
"Finally , universities usually do not rely too much on a nation is finance .",0
I touched the bottom of it and checked how to fix it by internet .,0
"Last year , Norway won .",1
I will do my best for my future .,1
"I want to go skiing , so I will go skiing next week .",1
We were getting cold but we were not able to find the way to pull ourselves out of the water .,0
"Or , it just means that I am an highly advanced automaton ?",0
Thank you for leading .,1
"Today , No , yesterday , I had drunk deeply after a long interval because of my colleage invitation .",0
Was I correct ?,0
"Then , I gave up the yen coins and inserted yen bill .",0
The recession continues in Japan .,1
Take several national days when we can put on national costumes to encourage others to do the same thing .,1
"vary from red to green , ",0
Its color is blown and white .,1
"When I was still in middle school , I knew this sentence To be or not to be , that s the question . But at that time I did nt totally understand its meaning .",1
and they said Good bye when I came back to my car .,0
I could not buy anything for golfing next weekend .,1
I expressed a heart mark in this picture .,1
"When I was elementary school student , I wanted to be a bookseller or an illustlator .",0
It is made of steel or plastic .,1
Shut up !,1
He has got a gold hair and two big ears .,0
I was talking about the Japanese yen and the American dollar .,1
Lang - start ! !,0
My sweethearts ? she asked me with a dreaming voice .,1
thanks every day .,0
You can go up to the observatory for free !,1
I will try to write everyday .,0
"So , I want to study English every day , but in fact , it is really hard for me to make it happen .",1
"What matters is that I have the will to insist my ideals , not who the teacher is .",0
I look forward to being built .,1
"If you have minutes , please find it in Youtube !",0
I think I will call and ask my sister - in - law tomorrow whether she can go with me or not .,1
It was at night .,0
I worked out in the swimming pool a little while ago .,0
I weaken long - statement memory .,1
"Although popularity of the Korean wave is going up , quality of the contents is somewhat going down because of some people having an eye on get - rich - quick - fever in Korean wave .",0
"Today , I made pasta .",1
one is view,1
"Shortly , SOS system like the Superman and angel",0
Good bye,1
 Tom Where have you been ? Jim I have been in the playground . ,1
The second one is the red scarf .,1
I want to go to France or Ireland someday so I hope to find a job in their countries .,1
He popped me in the oven .,1
I am very supprised it .,0
I lived in Vantagio where he lived in next to .,1
"I have been watching Season and , but I have never seen season and of Japanese version .",0
My goal,0
I do not know why .,1
I made a wish which I have to talk to others in English at chat corner every day when I back to Taiwan .,0
I started to communicate with other students as soon as I saw them for the first time .,0
It is been fine and very hot for a few weeks here .,1
 change my value or change my values ? ? ? ?,1
The sun came out just now .,1
I said ,1
"However , we do not realize whether our cost of living is expensive or not .",0
This is one of my treasure .,0
So I am feeling a little sleepy today .,0
I am going to go the library .,0
We drove for about hours .,0
Thank you for reading !,1
"Second , you should save water .",0
And now I feel more comfortable on the new campus and will try my best to adjust to everything in my life at DFLL .,1
The drive makes large noise from the fan and drive itself .,0
What do you think about Japan or Japanese ?,0
Thank you thank you everthing .,0
I am worried about it very much .,1
I went to the concert on Sunday .,1
But I am so happy too .,0
Some people went back because they thought there would be no more earthquakes - maybe they did not know TSUNAMI had come - some went back home to help elderly people or their pets .,1
Radio station sometimes gives us music .,0
Those are looked happyer .,0
Be aware not to be fat,1
The teacher and I did not get along with each other .,1
thanks for attention .,1
today too !,1
Thank you all for your corrections !,0
Q . In what ways do you think the Internet can be most useful ?,0
"So , today is cold and boring .",0
Say hello to others .,1
I have been worried for a while about this problem .,1
And I plan to travel around the Taiwan Island by motorcycle next week .,0
My mom only had one eye .,1
I have arrived at beijing and thank you for your enthusiastic care during i staying in canada .,0
"In contemporary society , the media play a significant role in our lives and make our lives more abundant .",1
Radiohead also has contributed much to easing my pain ,0
"The biggest problem is that I ca not speak Chinese at all , only very simple greeting words .",0
My hairstyle was praised by a colleague .,1
I never want to eat it ! ! ! ! ! ! ! !,1
"After I started to focus on painting , my blog started to bother me next time .",0
I will tell you why .,0
Last weekend I had a friend at this site .,1
He could read the books at home with no care for time .,0
